"","Churn","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Log_Churn_Prob","Log_Churn_Prediction","LDA_Churn_Prob","LDA_Churn_Prediction","QDA_Churn_Prob","QDA_Churn_Prediction","Dato"
"1","Yes",0.496732026143791,"France","Female",0.347826086956522,0.2,0,"1","1","1",0.506734893182299,0.197288778644995,"Yes",0.192750998150115,"Yes",0.172271956539533,"Yes",2015-03-07
"2","No",0.47276688453159,"Spain","Female",0.333333333333333,0.1,0.334031478677259,"1","0","1",0.562708738684544,0.23503539561197,"Yes",0.222301700560228,"Yes",0.217086476081145,"Yes",2019-07-11
"3","Yes",0.241830065359477,"France","Female",0.347826086956522,0.8,0.636357175935456,"3","1","0",0.569654351990615,0.265562724473844,"Yes",0.252405743160424,"Yes",0.266441941523756,"Yes",2015-11-09
"4","No",0.671023965141612,"France","Female",0.304347826086957,0.1,0,"2","0","0",0.469120050964867,0.16557903263722,"No",0.157345575962216,"Yes",0.131935729859816,"No",2019-07-16
"5","No",1,"Spain","Female",0.36231884057971,0.2,0.500246215505267,"1","1","1",0.39540036073445,0.251087397098967,"Yes",0.239610350246477,"Yes",0.257299700118068,"Yes",2018-04-20
"6","Yes",0.553376906318083,"Spain","Male",0.376811594202899,0.8,0.453394364221744,"2","1","0",0.748797160128792,0.165574868612704,"No",0.159625120199278,"Yes",0.11989908895188,"No",2019-08-26
"7","No",0.938997821350762,"France","Male",0.463768115942029,0.7,0,"2","1","1",0.050260899915942,0.160033643221676,"No",0.16793777944428,"Yes",0.150831101521453,"No",2017-07-06
"8","Yes",0.0174291938997821,"Germany","Female",0.159420289855072,0.4,0.458539720250561,"4","1","0",0.596733488048109,0.259380176739305,"Yes",0.246483301989986,"Yes",0.333034633508445,"Yes",2020-07-11
"9","No",0.239651416122004,"France","Male",0.376811594202899,0.4,0.566170392130127,"2","0","1",0.374680381976479,0.198054730891821,"Yes",0.190091356291956,"Yes",0.216173354314958,"Yes",2015-12-10
"10","No",0.638344226579521,"France","Male",0.130434782608696,0.2,0.536488261030604,"1","1","1",0.358604996777192,0.0719052279230208,"No",0.0582345179091031,"No",0.0432071741920582,"No",2016-01-09
"11","No",0.298474945533769,"France","Male",0.188405797101449,0.6,0.406606204136508,"2","0","0",0.40088598461153,0.0837703819719138,"No",0.0716185344038778,"No",0.0753258370441745,"No",2016-01-06
"12","No",0.230936819172113,"Spain","Male",0.0869565217391304,0.3,0,"2","1","0",0.381928624183609,0.0466942503562328,"No",0.0377296376608332,"No",0.0279900701580161,"No",2020-10-12
"13","No",0.185185185185185,"France","Female",0.231884057971014,1,0,"2","1","0",0.13125953528562,0.119309826547936,"No",0.109106706550698,"No",0.0819808140973547,"No",2017-03-09
"14","No",0.344226579520697,"France","Female",0.101449275362319,0.5,0,"2","0","0",0.954322187768932,0.0754747216202984,"No",0.062663025825342,"No",0.0404166026447967,"No",2019-02-27
"15","No",0.531590413943355,"Spain","Female",0.246376811594203,0.7,0,"2","1","1",0.329731839390662,0.126042486416883,"No",0.115328223405786,"No",0.0704602493323421,"No",2015-02-24
"16","No",0.490196078431373,"Germany","Male",0.391304347826087,0.3,0.570468312453076,"2","0","1",0.321609113670355,0.354448313187503,"Yes",0.373960813808852,"Yes",0.451442901250732,"Yes",2019-09-15
"17","Yes",0.570806100217865,"Germany","Male",0.579710144927536,0.1,0.528512911357755,"1","1","0",0.0254328788399292,0.554008145727763,"Yes",0.607136818548398,"Yes",0.678397930451497,"Yes",2018-11-16
"18","No",0.344226579520697,"Spain","Female",0.0869565217391304,0.9,0,"2","1","1",0.0719810241878099,0.0673543662153866,"No",0.0552167911587354,"No",0.0281622446302736,"No",2016-06-03
"19","No",0.427015250544662,"Spain","Male",0.391304347826087,0.6,0,"1","0","0",0.793441923703714,0.142121188638525,"No",0.141809340775685,"No",0.0842843616277474,"No",2016-01-19
"20","No",0.729847494553377,"France","Female",0.0869565217391304,0.6,0,"2","1","1",0.273588377690069,0.0636338701673212,"No",0.052297353497509,"No",0.0343534415579786,"No",2020-01-19
"21","No",0.742919389978213,"France","Male",0.333333333333333,0.8,0,"2","1","1",0.854454550409564,0.0997940500961387,"No",0.0968043414069802,"No",0.0789008624194417,"No",2018-02-24
"22","No",0.533769063180828,"Spain","Female",0.202898550724638,0.8,0,"2","1","0",0.692785561021077,0.104493211922207,"No",0.0928953443417539,"No",0.0550814094116447,"No",2018-03-04
"23","Yes",0.259259259259259,"Spain","Female",0.289855072463768,0.4,0,"1","1","0",0.59456653110372,0.166144353125374,"No",0.156074507725395,"Yes",0.106388222838745,"No",2019-03-10
"24","No",0.605664488017429,"France","Male",0.405797101449275,0.3,0,"2","0","1",0.0423848977577359,0.149051018906734,"No",0.150431051932452,"Yes",0.131338219345036,"No",2018-01-09
"25","No",0.991285403050109,"France","Female",0.289855072463768,0.5,0,"1","1","1",0.93811248974277,0.136228964015146,"No",0.128716564975612,"No",0.118867840635629,"No",2016-10-26
"26","No",0.405228758169935,"France","Male",0.101449275362319,0.3,0,"2","0","1",0.622543002856773,0.0464175334005678,"No",0.0381358119296562,"No",0.0251632699046015,"No",2020-11-14
"27","No",0.79520697167756,"Germany","Male",0.260869565217391,0.2,0.54530363304081,"1","1","1",0.850233047256013,0.223522506870611,"Yes",0.222268853443375,"Yes",0.268873488217193,"Yes",2015-09-17
"28","No",0.392156862745098,"France","Male",0.376811594202899,0.9,0,"2","0","0",0.192127198147423,0.125617219102177,"No",0.125392582316488,"No",0.104551135378295,"No",2020-10-15
"29","No",0.398692810457516,"Germany","Female",0.36231884057971,0.3,0.563373878214856,"1","1","1",0.500927088536955,0.458983884704964,"Yes",0.47564971118371,"Yes",0.549847003204809,"Yes",2017-03-26
"30","No",0.0435729847494553,"France","Male",0.159420289855072,0,0.237933935646939,"2","1","1",0.267383685141931,0.0797364786182169,"No",0.0670992066834899,"No",0.0936113776217912,"No",2017-04-19
"31","Yes",0.435729847494553,"Spain","Female",0.304347826086957,0.3,0,"3","1","0",0.702356075005163,0.171642831362764,"Yes",0.16255013447466,"Yes",0.118727882125526,"No",2018-06-25
"32","No",0.309368191721133,"France","Male",0.260869565217391,0.7,0.340025306689262,"1","0","1",0.783676491104901,0.104739798305374,"No",0.0946715256421773,"No",0.103509691811798,"No",2018-08-16
"33","No",0.352941176470588,"Germany","Male",0.333333333333333,0.9,0.438873568148725,"2","0","0",0.409475254886842,0.261812631871845,"Yes",0.273716736967024,"Yes",0.38695934507681,"Yes",2018-10-01
"34","No",0.281045751633987,"Spain","Female",0.347826086956522,0.6,0,"2","1","1",0.172011277076961,0.196684998073559,"Yes",0.191870660566918,"Yes",0.113163320583648,"No",2019-08-04
"35","No",0.721132897603486,"Spain","Female",0.159420289855072,0.9,0,"2","1","1",0.710175271738451,0.0825926007088897,"No",0.0712661559736435,"No",0.0494759235523754,"No",2015-03-18
"36","Yes",0.183006535947712,"France","Female",0.391304347826087,0,0.535133766861278,"1","1","0",0.139070331216631,0.328544594495492,"Yes",0.319587420685915,"Yes",0.380485001654496,"Yes",2016-08-06
"37","No",0.215686274509804,"Spain","Male",0.188405797101449,0.3,0.578961083362572,"1","0","1",0.570330416554781,0.103223168249714,"No",0.0866249393167041,"No",0.0835616340924174,"No",2017-09-09
"38","No",0.899782135076253,"Spain","Male",0.217391304347826,0.7,0.305098376795136,"1","0","1",0.492256360482426,0.076777593914989,"No",0.0670118483629469,"No",0.0709874098813733,"No",2017-10-27
"39","No",1,"France","Male",0.260869565217391,0.7,0,"1","1","1",0.204026084491069,0.0716533406978131,"No",0.0661337879515799,"No",0.0570109102728797,"No",2019-12-22
"40","No",0.416122004357298,"Germany","Male",0.333333333333333,0.6,0.280390655823645,"2","0","1",0.890397332945296,0.24955523357475,"Yes",0.262623168696853,"Yes",0.360001249701582,"Yes",2016-12-21
