"","Churn","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Churn_Prob","Log_Churn_Prob","Log_Churn_Prediction","QDA_Churn_Prob","QDA_Churn_Prediction","log_reg_cost","lda_cost","qda_cost"
"1","Yes",0.496732026143791,"France","Female",0.347826086956522,0.2,0,"1","1","1",0.506734893182299,0.197288778644995,0.197288778644995,"Yes",0.172271956539533,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"2","No",0.47276688453159,"Spain","Female",0.333333333333333,0.1,0.334031478677259,"1","0","1",0.562708738684544,0.23503539561197,0.23503539561197,"Yes",0.217086476081145,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"3","Yes",0.241830065359477,"France","Female",0.347826086956522,0.8,0.636357175935456,"3","1","0",0.569654351990615,0.265562724473844,0.265562724473844,"Yes",0.266441941523756,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"4","No",0.671023965141612,"France","Female",0.304347826086957,0.1,0,"2","0","0",0.469120050964867,0.16557903263722,0.16557903263722,"No",0.131935729859816,"No",38.0790395197599,27.2136068034017,28.7543771885943
"5","No",1,"Spain","Female",0.36231884057971,0.2,0.500246215505267,"1","1","1",0.39540036073445,0.251087397098967,0.251087397098967,"Yes",0.257299700118068,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"6","Yes",0.553376906318083,"Spain","Male",0.376811594202899,0.8,0.453394364221744,"2","1","0",0.748797160128792,0.165574868612704,0.165574868612704,"No",0.11989908895188,"No",38.0790395197599,27.2136068034017,28.7543771885943
"7","No",0.938997821350762,"France","Male",0.463768115942029,0.7,0,"2","1","1",0.050260899915942,0.160033643221676,0.160033643221676,"No",0.150831101521453,"No",38.0790395197599,27.2136068034017,28.7543771885943
"8","Yes",0.0174291938997821,"Germany","Female",0.159420289855072,0.4,0.458539720250561,"4","1","0",0.596733488048109,0.259380176739305,0.259380176739305,"Yes",0.333034633508445,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"9","No",0.239651416122004,"France","Male",0.376811594202899,0.4,0.566170392130127,"2","0","1",0.374680381976479,0.198054730891821,0.198054730891821,"Yes",0.216173354314958,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"10","No",0.638344226579521,"France","Male",0.130434782608696,0.2,0.536488261030604,"1","1","1",0.358604996777192,0.0719052279230208,0.0719052279230208,"No",0.0432071741920582,"No",38.0790395197599,27.2136068034017,28.7543771885943
"11","No",0.298474945533769,"France","Male",0.188405797101449,0.6,0.406606204136508,"2","0","0",0.40088598461153,0.0837703819719138,0.0837703819719138,"No",0.0753258370441745,"No",38.0790395197599,27.2136068034017,28.7543771885943
"12","No",0.230936819172113,"Spain","Male",0.0869565217391304,0.3,0,"2","1","0",0.381928624183609,0.0466942503562328,0.0466942503562328,"No",0.0279900701580161,"No",38.0790395197599,27.2136068034017,28.7543771885943
"13","No",0.185185185185185,"France","Female",0.231884057971014,1,0,"2","1","0",0.13125953528562,0.119309826547936,0.119309826547936,"No",0.0819808140973547,"No",38.0790395197599,27.2136068034017,28.7543771885943
"14","No",0.344226579520697,"France","Female",0.101449275362319,0.5,0,"2","0","0",0.954322187768932,0.0754747216202984,0.0754747216202984,"No",0.0404166026447967,"No",38.0790395197599,27.2136068034017,28.7543771885943
